Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers gained,Subscribers lost,Net subscribers,Likes,Dislikes,Comments added,Shares,Impressions,Impressions click-through rate (%),Average view duration,Average percentage viewed (%),Subscriber conversion rate (%),Engagement rate (%),Like rate (%),Duration (seconds),anomaly_flag,diagnosis,recommendation,content_opportunity_score,search_gap_keywords
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49.0,859,6.3833,1,0,1,21,0,3,0,0,0.0,00:00:27,55.66,0.11641443538998836,2.7939464493597206,2.4447031431897557,,normal,insufficient_data,deprecate,50,
QfhDxRUwlfg,Build a Fullstack App with React &amp; PostgreSQL From Scratch! - Part 1,"Jul 31, 2025",1069.0,538,35.7,15,0,15,24,0,4,3,0,0.0,00:03:58,22.35,2.7881040892193307,5.762081784386617,4.4609665427509295,,normal,insufficient_data,deprecate,50,
PqN6WlNQaZc,Building a Hono.js API in simple quick steps! - Part 3,"Aug 01, 2025",817.0,471,12.25,3,0,3,5,0,2,0,0,0.0,00:01:33,11.46,0.6369426751592357,1.48619957537155,1.0615711252653928,,normal,insufficient_data,deprecate,50,
mJpnVc9YaEI,TanStack Router setup for React in 15 minutes! - Part 7,"Sep 30, 2025",994.0,453,24.0833,5,0,5,12,0,2,5,0,0.0,00:03:11,19.26,1.1037527593818985,4.194260485651214,2.6490066225165565,,normal,insufficient_data,deprecate,50,
Qm_OGL5iv7U,RTK Query Tutorial will level up your API game!,"Dec 11, 2024",724.0,396,17.35,2,0,2,7,0,2,5,0,0.0,00:02:37,21.8,0.5050505050505051,3.535353535353535,1.7676767676767675,,normal,insufficient_data,deprecate,50,
TROfOyOTH8w,Can SolidJS Make Your Code Cleaner?,"Dec 24, 2024",57.0,346,2.6,0,0,0,9,0,0,0,0,0.0,00:00:38,67.56,0.0,2.601156069364162,2.601156069364162,,normal,insufficient_data,deprecate,50,
crAXFD7eMgo,Create a Django app with uv as package manager #pythontutorial,"Sep 12, 2025",60.0,309,2.6,0,0,0,5,0,1,0,0,0.0,00:01:00,101.52,0.0,1.9417475728155338,1.6181229773462782,,normal,insufficient_data,deprecate,50,
vHZFTaBGKRg,JavaScript keyboard events tutorial,"Jul 09, 2025",81.0,282,0.8,0,0,0,1,0,0,0,0,0.0,00:00:27,33.64,0.0,0.3546099290780142,0.3546099290780142,,normal,insufficient_data,deprecate,50,
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,"Sep 22, 2025",777.0,279,8.6667,2,0,2,5,0,2,0,0,0.0,00:01:52,14.42,0.7168458781362007,2.5089605734767026,1.7921146953405016,,normal,insufficient_data,deprecate,50,
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,"Jul 31, 2025",1550.0,278,22.5667,3,0,3,7,0,0,1,0,0.0,00:04:52,18.87,1.079136690647482,2.877697841726619,2.5179856115107913,,normal,insufficient_data,deprecate,50,
h4m4Q_x4UEk,Easy React Animations for Beginners Using GSAP,"Aug 14, 2025",73.0,251,1.5,1,0,1,6,0,0,2,0,0.0,00:00:33,46.16,0.398406374501992,3.187250996015936,2.3904382470119523,,normal,insufficient_data,deprecate,50,
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,"Aug 13, 2025",1065.0,242,13.4667,2,0,2,3,0,4,4,0,0.0,00:03:20,18.82,0.8264462809917356,4.545454545454546,1.2396694214876034,,normal,insufficient_data,deprecate,50,
CpAreCzumtc,CSS Filters in 60 seconds (or less),"Jul 05, 2025",44.0,81,0.15,0,0,0,1,0,0,0,0,0.0,00:00:26,60.3,0.0,1.2345679012345678,1.2345679012345678,,normal,insufficient_data,deprecate,50,
UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260.0,42,0.4667,2,0,2,4,0,1,1,0,0.0,00:00:40,15.71,4.761904761904762,14.285714285714285,9.523809523809524,,normal,insufficient_data,deprecate,50,
Ahs_lvfVBuk,🔋 JavaScript Battery API,"Jul 15, 2025",43.0,28,0.0667,0,0,0,1,0,0,0,0,0.0,00:00:13,30.58,0.0,3.571428571428571,3.571428571428571,,normal,insufficient_data,deprecate,50,
